ID,symbols,logFC,P.Value
LOC_Os02g18380,LOC_Os02g18380,-0.779205,0.0025789
LOC_Os02g18390,LOC_Os02g18390,-1.50552,0.00144447
LOC_Os02g18450,LOC_Os02g18450,-0.738225,0.00936537
LOC_Os02g18830,LOC_Os02g18830,-0.922713,0.0025789
LOC_Os02g19130,LOC_Os02g19130,1.53814,0.0413115
LOC_Os02g20360,LOC_Os02g20360,-3.77392,0.0283631
LOC_Os02g21660,LOC_Os02g21660,-0.831867,0.00144447
LOC_Os02g22780,LOC_Os02g22780,-0.612196,0.0224819
LOC_Os02g24080,LOC_Os02g24080,-0.772308,0.0296755
LOC_Os02g24270,LOC_Os02g24270,1.15821,0.00355611
LOC_Os02g24330,LOC_Os02g24330,-0.656996,0.0246692
LOC_Os02g24354,LOC_Os02g24354,-0.713991,0.010105
LOC_Os02g26614,LOC_Os02g26614,1.61809,0.00144447
LOC_Os02g26700,LOC_Os02g26700,0.840985,0.00144447
LOC_Os02g26790,LOC_Os02g26790,-0.779569,0.0115122
LOC_Os02g27000,LOC_Os02g27000,5.03897,0.00144447
LOC_Os02g27480,LOC_Os02g27480,-1.37476,0.0135233
LOC_Os02g27810,LOC_Os02g27810,1.23585,0.0025789
LOC_Os02g27960,LOC_Os02g27960,-0.744787,0.0165457
LOC_Os02g28170,LOC_Os02g28170,2.66844,0.0301367
LOC_Os02g28810,LOC_Os02g28810,-0.887995,0.00355611
LOC_Os02g28900,LOC_Os02g28900,2.60092,0.00144447
LOC_Os02g29400,LOC_Os02g29400,-1.01734,0.00144447
LOC_Os02g30080,LOC_Os02g30080,1.1326,0.00144447
LOC_Os02g30910,LOC_Os02g30910,-2.15509,0.00144447
LOC_Os02g31230,LOC_Os02g31230,5.86667,0.0470521
LOC_Os02g32030,LOC_Os02g32030,-0.600823,0.0368084
LOC_Os02g32250,LOC_Os02g32250,0.921256,0.00144447
LOC_Os02g32469,LOC_Os02g32469,0.736755,0.00781053
LOC_Os02g32610,LOC_Os02g32610,0.6261,0.0470521
LOC_Os02g32760,LOC_Os02g32760,-0.959713,0.00144447
LOC_Os02g32814,LOC_Os02g32814,2.49546,0.00144447
LOC_Os02g32980,LOC_Os02g32980,1.37852,0.0122338
LOC_Os02g33140,LOC_Os02g33140,-1.1347,0.00144447
LOC_Os02g33420,LOC_Os02g33420,0.92265,0.00144447
LOC_Os02g33460,LOC_Os02g33460,1.34888,0.00619541
LOC_Os02g33540,LOC_Os02g33540,-1.44849,0.00701559
LOC_Os02g34740,LOC_Os02g34740,-1.00026,0.0384703
LOC_Os02g34940,LOC_Os02g34940,-1.3183,0.0142094
LOC_Os02g34990,LOC_Os02g34990,-2.1883,0.00701559
LOC_Os02g35060,LOC_Os02g35060,-1.04624,0.00144447
LOC_Os02g35100,LOC_Os02g35100,-0.637928,0.0371932
LOC_Os02g35910,LOC_Os02g35910,-0.674344,0.0338106
LOC_Os02g35940,LOC_Os02g35940,-0.994501,0.0292265
LOC_Os02g35950,LOC_Os02g35950,-0.637489,0.0171042
LOC_Os02g36710,LOC_Os02g36710,-0.647041,0.0171042
LOC_Os02g36924,LOC_Os02g36924,3.08405,0.00144447
LOC_Os02g36960,LOC_Os02g36960,0.855042,0.0148111
LOC_Os02g37070,LOC_Os02g37070,-1.63299,0.00781053
LOC_Os02g37109,LOC_Os02g37109,0.89748,0.0176481
LOC_Os02g37862,LOC_Os02g37862,-0.867852,0.00144447
LOC_Os02g37870,LOC_Os02g37870,-0.936668,0.00144447
LOC_Os02g38140,LOC_Os02g38140,-0.633573,0.0464359
LOC_Os02g38810,LOC_Os02g38810,-0.765874,0.0283631
LOC_Os02g38920,LOC_Os02g38920,-0.604352,0.0268193
LOC_Os02g39384,LOC_Os02g39384,-1.85841,0.0401884
LOC_Os02g39850,LOC_Os02g39850,1.86891,0.00144447
LOC_Os02g39870,LOC_Os02g39870,-0.94144,0.00144447
LOC_Os02g40010,LOC_Os02g40010,0.919092,0.00144447
LOC_Os02g40040,LOC_Os02g40040,-0.713935,0.0438757
LOC_Os02g40260,LOC_Os02g40260,2.39844,0.00144447
LOC_Os02g40280,LOC_Os02g40280,-1.81174,0.0388817
LOC_Os02g40510,LOC_Os02g40510,0.660815,0.0413115
LOC_Os02g40514,LOC_Os02g40514,-0.642377,0.01995
LOC_Os02g40880,LOC_Os02g40880,-0.751735,0.00144447
LOC_Os02g41460,LOC_Os02g41460,0.723475,0.0209878
LOC_Os02g41610,LOC_Os02g41610,2.97438,0.00144447
LOC_Os02g41680,LOC_Os02g41680,1.1891,0.00144447
LOC_Os02g41770,LOC_Os02g41770,-0.939297,0.01995
LOC_Os02g41860,LOC_Os02g41860,1.42088,0.00144447
LOC_Os02g41904,LOC_Os02g41904,-0.851859,0.00144447
LOC_Os02g42210,LOC_Os02g42210,-0.794738,0.00619541
LOC_Os02g42370,LOC_Os02g42370,-1.16847,0.00144447
LOC_Os02g42740,LOC_Os02g42740,1.13985,0.00144447
LOC_Os02g42850,LOC_Os02g42850,1.05253,0.0204178
LOC_Os02g42880,LOC_Os02g42880,-0.987255,0.0194283
